datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-02-14 10:00:00,496.78000,497.00000,496.61499,496.92999,807499,186732585.00000,73.63481,0.68470,1.11733
2024-02-14 09:55:00,496.88000,496.88000,496.54001,496.63000,682919,187540084.00000,74.89984,0.70776,1.05925
2024-02-14 09:50:00,496.63000,496.79001,496.20999,496.57999,835026,186857165.00000,73.85729,0.73605,0.95952
2024-02-14 09:45:00,496.57999,497.00000,496.45001,496.67001,764496,186022139.00000,73.65399,0.74805,0.84373
2024-02-14 09:40:00,496.67001,496.79001,495.78000,495.92999,1062950,186786635.00000,74.62388,0.76328,0.68876
2024-02-14 09:35:00,495.92001,496.77499,495.89001,496.67999,5259370,185723685.00000,71.74571,0.74431,0.47178
2024-02-14 09:30:00,496.66000,497.29999,496.53000,496.79001,3320448,190983055.00000,80.06560,0.73348,0.26433
2024-02-13 15:55:00,494.14001,494.20999,492.92001,493.01001,12479610,187662607.00000,68.52302,0.54683,-0.07964
2024-02-13 15:50:00,492.99500,493.04999,492.56000,492.66501,4393337,175182997.00000,58.34708,0.48967,-0.26093
2024-02-13 15:45:00,492.92999,493.00500,492.63501,492.63501,2221189,170789660.00000,57.62493,0.48964,-0.37194
2024-02-13 15:40:00,492.62000,492.69000,491.79999,491.84000,1842532,168568471.00000,54.10102,0.49769,-0.50160
2024-02-13 15:35:00,491.84000,492.00000,491.70999,491.82999,1660873,166725939.00000,43.03237,0.46751,-0.62824
2024-02-13 15:30:00,491.84000,491.87000,491.20999,491.29999,1711291,166725939.00000,43.03237,0.48116,-0.70132
2024-02-13 15:25:00,491.33011,491.41501,490.73001,490.89001,1541980,165014648.00000,34.07089,0.46741,-0.78439
2024-02-13 15:20:00,490.88501,491.10001,490.71500,490.94501,1499510,163472668.00000,24.43556,0.45067,-0.82709
2024-02-13 15:15:00,490.95990,491.26001,490.89001,491.19000,1195091,164972178.00000,25.00655,0.45572,-0.82425
2024-02-13 15:10:00,491.17999,491.38000,491.10001,491.16501,1357758,166167269.00000,26.70977,0.46231,-0.81626
2024-02-13 15:05:00,491.17001,491.35001,491.04999,491.04999,951409,164809511.00000,26.49899,0.47634,-0.81660
2024-02-13 15:00:00,491.06000,491.54999,490.98001,491.39001,1517673,163858102.00000,24.26945,0.48990,-0.80414
2024-02-13 14:55:00,491.39999,491.51001,491.09000,491.28000,2414423,165375775.00000,26.58348,0.48374,-0.76534
2024-02-13 14:50:00,491.26999,491.84061,491.09000,491.73001,1230866,162961352.00000,24.01095,0.48865,-0.73929
2024-02-13 14:45:00,491.72989,492.51990,491.69000,492.39999,1070372,164192218.00000,27.13416,0.46849,-0.68206
2024-02-13 14:40:00,492.41000,492.94769,492.39999,492.79999,847433,165262590.00000,33.03479,0.44069,-0.64592
2024-02-13 14:35:00,492.79001,492.86499,492.53000,492.70999,877661,166110023.00000,37.23591,0.43246,-0.65965
2024-02-13 14:30:00,492.70999,492.82999,492.06000,492.10001,997331,165232362.00000,35.63543,0.43996,-0.70626
2024-02-13 14:25:00,492.10999,492.26999,491.79001,492.03000,1531222,164235031.00000,21.74020,0.41457,-0.74733
2024-02-13 14:20:00,492.03000,492.39001,492.01001,492.19000,819690,162703809.00000,19.59139,0.40954,-0.72780
2024-02-13 14:15:00,492.18500,492.39001,491.85001,492.09500,1524489,163523499.00000,20.60965,0.41181,-0.68413
2024-02-13 14:10:00,492.09991,492.64001,492.01999,492.60999,1585546,161999010.00000,18.44917,0.40195,-0.63423
2024-02-13 14:05:00,492.63989,492.98001,492.53000,492.92999,1632315,163584556.00000,21.97304,0.38518,-0.55265
2024-02-13 14:00:00,492.92001,493.59000,492.83499,493.58499,950567,165216871.00000,24.19962,0.38019,-0.49547
2024-02-13 13:55:00,493.59000,493.60001,493.35999,493.44000,603096,166167438.00000,31.22735,0.35136,-0.44379
2024-02-13 13:50:00,493.44501,493.66000,493.35999,493.59000,862312,165564342.00000,26.96526,0.35992,-0.43960
2024-02-13 13:45:00,493.60999,493.94501,493.54999,493.79999,706889,166426654.00000,28.85469,0.36453,-0.41309
2024-02-13 13:40:00,493.79999,494.07001,493.70001,494.06989,493652,167133543.00000,31.19200,0.36219,-0.39004
2024-02-13 13:35:00,494.07001,494.13000,493.85001,494.06000,512482,167627195.00000,34.92529,0.36159,-0.37430
2024-02-13 13:30:00,494.04999,494.29999,494.03000,494.23001,464455,167114713.00000,34.38463,0.36786,-0.37625
2024-02-13 13:25:00,494.23010,494.38000,494.09000,494.14999,406427,167579168.00000,36.94931,0.37539,-0.37124
2024-02-13 13:20:00,494.16000,494.29501,494.03000,494.28000,444699,167172741.00000,35.20267,0.38196,-0.37777
2024-02-13 13:15:00,494.29999,494.47989,494.17059,494.35001,512390,167617440.00000,37.10890,0.39057,-0.37348
